mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_epsilon,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.00019998550415,0.000200033187866,-0.310246040449,-0.218668309392,0.001,0.0046415888336127772,0.001,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 0.001}",486,-0.500517133525,-0.168258381044,-0.178221898381,-0.311850035829,-0.431062860092,-0.18626309553,-0.0141764899339,-0.215480104524,-0.419970951438,-0.211489930033,0.000399971008301,0.000400066375732,0.182381643061,0.0496704875831
0.00019998550415,0.000600004196167,-0.310220152078,-0.218634152302,0.001,0.0046415888336127772,0.0046415888336127772,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 0.0046415888336127772}",483,-0.500486298648,-0.168244982208,-0.178134881793,-0.311799701026,-0.431127043654,-0.186230565802,-0.0142011946333,-0.215441325052,-0.419878732127,-0.211454187424,0.000399971008301,0.000489901382448,0.182378149577,0.0496600974453
0.0,0.0,-0.310272779064,-0.218653830555,0.001,0.0046415888336127772,0.021544346900318832,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 0.021544346900318832}",493,-0.500502790582,-0.168198014805,-0.178250819058,-0.311825165275,-0.431115106369,-0.186286503717,-0.0141943657012,-0.21544873293,-0.42002480717,-0.211510736048,0.0,0.0,0.182381188832,0.0496701666054
0.000400018692017,0.000400018692017,-0.310303485536,-0.218674269576,0.001,0.0046415888336127772,0.10000000000000001,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 0.10000000000000001}",502,-0.500572552746,-0.168212319497,-0.178315017501,-0.311860263755,-0.431024815346,-0.186291011948,-0.0141937027572,-0.215464984886,-0.420126264433,-0.211542767797,0.000489920847309,0.000489920847309,0.182387274268,0.0496787099619
0.0,0.000600004196167,-0.310315702978,-0.218682779089,0.001,0.0046415888336127772,0.46415888336127775,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 0.46415888336127775}",504,-0.500608237724,-0.168234963468,-0.178309600286,-0.311865070657,-0.431025979768,-0.186298822452,-0.0142209854991,-0.215472820802,-0.420127907608,-0.211542218066,0.0,0.000489901382448,0.182387990596,0.0496748098219
0.0,0.000399971008301,-0.310319938556,-0.218684202815,0.001,0.0046415888336127772,2.154434690031882,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 2.154434690031882}",509,-0.500611884096,-0.168239465242,-0.17832150577,-0.311870761489,-0.431034449673,-0.186302113037,-0.0142265761528,-0.215473401119,-0.420118587992,-0.211535273189,0.0,0.000489862441122,0.182385229674,0.0496757937972
0.0,0.000399971008301,-0.310319677412,-0.218684165682,0.001,0.0046415888336127772,10.0,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 10.0}",508,-0.500611908572,-0.16823944493,-0.178320428737,-0.311870868201,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.0,0.000489862441122,0.1823853706,0.0496758485979
0.000400018692017,0.000600004196167,-0.310319677408,-0.218684165682,0.001,0.0046415888336127772,46.415888336127729,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 46.415888336127729}",505,-0.500611908572,-0.168239444929,-0.178320428721,-0.311870868201,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.000489920847309,0.000489901382448,0.182385370603,0.0496758485981
0.0,0.000400018692017,-0.310319677408,-0.218684165682,0.001,0.0046415888336127772,215.44346900318823,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 215.44346900318823}",505,-0.500611908572,-0.168239444929,-0.178320428721,-0.311870868201,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.0,0.000489920847309,0.182385370603,0.0496758485981
0.0,0.0,-0.310319677408,-0.218684165682,0.001,0.0046415888336127772,1000.0,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 1000.0}",505,-0.500611908572,-0.168239444929,-0.178320428721,-0.311870868201,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.0,0.0,0.182385370603,0.0496758485981
0.0,0.00019998550415,-0.310075869939,-0.218655967024,0.001,0.021544346900318832,0.001,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 0.001}",460,-0.501188181978,-0.168793413822,-0.17675672088,-0.311253291212,-0.431062860092,-0.18626309553,-0.0141764899339,-0.215480104524,-0.419970951438,-0.211489930033,0.0,0.000399971008301,0.182759990435,0.049338169749
0.000399971008301,0.00019998550415,-0.310050007241,-0.218621813746,0.001,0.021544346900318832,0.0046415888336127772,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 0.0046415888336127772}",457,-0.501157345783,-0.16878001605,-0.176669825419,-0.311202974402,-0.431127043654,-0.186230565802,-0.0142011946333,-0.215441325052,-0.419878732127,-0.211454187424,0.000489862441122,0.000399971008301,0.182756586068,0.0493278003257
0.0,0.000600004196167,-0.310102591988,-0.218641479512,0.001,0.021544346900318832,0.021544346900318832,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 0.021544346900318832}",462,-0.50117381235,-0.16873299402,-0.176785590936,-0.311228430844,-0.431115106369,-0.186286503717,-0.0141943657012,-0.21544873293,-0.42002480717,-0.211510736048,0.0,0.000489901382448,0.182759503008,0.0493377868836
0.0,0.0,-0.31013328235,-0.218661921768,0.001,0.021544346900318832,0.10000000000000001,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 0.10000000000000001}",470,-0.501243596884,-0.168747330191,-0.17684969183,-0.311263514019,-0.431024815346,-0.186291011948,-0.0141937027572,-0.215464984886,-0.420126264433,-0.211542767797,0.0,0.0,0.182765569295,0.0493463269168
0.00019998550415,0.0,-0.310145547128,-0.218670437569,0.001,0.021544346900318832,0.46415888336127775,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 0.46415888336127775}",471,-0.501279297654,-0.168769999794,-0.176844479721,-0.311268326732,-0.431025979768,-0.186298822452,-0.0142209854991,-0.215472820802,-0.420127907608,-0.211542218066,0.000399971008301,0.0,0.182766304383,0.0493424371089
0.00019998550415,0.000800037384033,-0.310149779567,-0.218671861359,0.001,0.021544346900318832,2.154434690031882,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 2.154434690031882}",476,-0.501282945599,-0.16877450503,-0.176856368988,-0.31127401442,-0.431034449673,-0.186302113037,-0.0142265761528,-0.215473401119,-0.420118587992,-0.211535273189,0.000399971008301,0.000400018706227,0.182763538424,0.049343422186
